"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"1029","GO:0045860","positive regulation of protein kinase activity",0.26,"0% {0/114}","0.5% {5/1010}",0.504,1
"1030","GO:0045600","positive regulation of fat cell differentiation",0.258,"0% {0/114}","0.59% {6/1010}",0.559,1
"1031","GO:0006796","phosphate-containing compound metabolic process",0.258,"0% {0/114}","0.3% {3/1010}",0.5,1
"1032","GO:0006261","DNA-dependent DNA replication",0.258,"0% {0/114}","0.3% {3/1010}",0.5,1
"1033","GO:0043651","linoleic acid metabolic process",0.255,"0% {0/114}","0.3% {3/1010}",0.5,1
"1034","GO:1900027","regulation of ruffle assembly",0.255,"0% {0/114}","0.3% {3/1010}",0.5,1
"1035","GO:0050680","negative regulation of epithelial cell proliferation",0.254,"0% {0/114}","0.69% {7/1010}",0.604,1
"1036","GO:0007224","smoothened signaling pathway",0.253,"0% {0/114}","0.5% {5/1010}",0.504,1
"1037","GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",0.253,"0% {0/114}","0.4% {4/1010}",0.5,1
"1038","GO:0001707","mesoderm formation",0.252,"0% {0/114}","0.4% {4/1010}",0.5,1
"1039","GO:0098655","cation transmembrane transport",0.252,"0% {0/114}","0.3% {3/1010}",0.5,1
"1040","GO:0075522","IRES-dependent viral translational initiation",0.251,"0% {0/114}","0.4% {4/1010}",0.5,1
"1041","GO:0006348","chromatin silencing at telomere",0.25,"0% {0/114}","0.3% {3/1010}",0.5,1
"1042","GO:1990573","potassium ion import across plasma membrane",0.25,"0% {0/114}","0.4% {4/1010}",0.5,1
"1043","GO:0006807","nitrogen compound metabolic process",0.249,"0% {0/114}","0.3% {3/1010}",0.5,1
"1044","GO:2000679","positive regulation of transcription regulatory region DNA binding",0.248,"0% {0/114}","0.3% {3/1010}",0.5,1
"1045","GO:0045879","negative regulation of smoothened signaling pathway",0.246,"0% {0/114}","0.3% {3/1010}",0.5,1
"1046","GO:0000038","very long-chain fatty acid metabolic process",0.246,"0% {0/114}","0.5% {5/1010}",0.504,1
"1047","GO:0038111","interleukin-7-mediated signaling pathway",0.246,"0% {0/114}","0.5% {5/1010}",0.504,1
"1048","GO:0035249","synaptic transmission, glutamatergic",0.245,"0% {0/114}","0.4% {4/1010}",0.5,1
"1049","GO:0030007","cellular potassium ion homeostasis",0.244,"0% {0/114}","0.3% {3/1010}",0.5,1
"1050","GO:0071345","cellular response to cytokine stimulus",0.243,"0% {0/114}","0.3% {3/1010}",0.5,1
"1051","GO:0060612","adipose tissue development",0.241,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1052","GO:0090102","cochlea development",0.24,"0% {0/114}","0.3% {3/1010}",0.5,1
"1053","GO:1904668","positive regulation of ubiquitin protein ligase activity",0.237,"0% {0/114}","0.5% {5/1010}",0.504,1
"1054","GO:0009416","response to light stimulus",0.237,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"1055","GO:0015816","glycine transport",0.237,"0% {0/114}","0.4% {4/1010}",0.5,1
"1056","GO:1903078","positive regulation of protein localization to plasma membrane",0.236,"0% {0/114}","0.79% {8/1010}",0.643,1
"1057","GO:0009156","ribonucleoside monophosphate biosynthetic process",0.236,"0% {0/114}","0.4% {4/1010}",0.5,1
"1058","GO:0000266","mitochondrial fission",0.236,"0% {0/114}","0.4% {4/1010}",0.5,1
"1059","GO:0010667","negative regulation of cardiac muscle cell apoptotic process",0.236,"0% {0/114}","0.4% {4/1010}",0.5,1
"1060","GO:0034379","very-low-density lipoprotein particle assembly",0.234,"0% {0/114}","0.59% {6/1010}",0.559,1
"1061","GO:0000050","urea cycle",0.234,"0% {0/114}","0.3% {3/1010}",0.5,1
"1062","GO:0045786","negative regulation of cell cycle",0.231,"0% {0/114}","0.3% {3/1010}",0.5,1
"1063","GO:0009435","NAD biosynthetic process",0.231,"0% {0/114}","0.3% {3/1010}",0.5,1
"1064","GO:0071353","cellular response to interleukin-4",0.23,"0% {0/114}","0.3% {3/1010}",0.5,1
"1065","GO:0006825","copper ion transport",0.23,"0% {0/114}","0.3% {3/1010}",0.5,1
"1066","GO:0071383","cellular response to steroid hormone stimulus",0.23,"0% {0/114}","0.3% {3/1010}",0.5,1
"1067","GO:0015909","long-chain fatty acid transport",0.229,"0% {0/114}","0.5% {5/1010}",0.504,1
"1068","GO:0070884","regulation of calcineurin-NFAT signaling cascade",0.229,"0% {0/114}","0.3% {3/1010}",0.5,1
"1069","GO:0030330","DNA damage response, signal transduction by p53 class mediator",0.229,"0% {0/114}","0.3% {3/1010}",0.5,1
"1070","GO:0006361","transcription initiation from RNA polymerase I promoter",0.228,"0% {0/114}","0.5% {5/1010}",0.504,1
"1071","GO:0097194","execution phase of apoptosis",0.228,"0% {0/114}","0.4% {4/1010}",0.5,1
"1072","GO:0034605","cellular response to heat",0.227,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"1073","GO:0010501","RNA secondary structure unwinding",0.226,"0% {0/114}","0.59% {6/1010}",0.559,1
"1074","GO:0060041","retina development in camera-type eye",0.226,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"1075","GO:0043666","regulation of phosphoprotein phosphatase activity",0.226,"0% {0/114}","0.5% {5/1010}",0.504,1
"1076","GO:0006409","tRNA export from nucleus",0.226,"0% {0/114}","0.4% {4/1010}",0.5,1
"1077","GO:0002244","hematopoietic progenitor cell differentiation",0.224,"0% {0/114}","0.4% {4/1010}",0.5,1
"1078","GO:0071897","DNA biosynthetic process",0.223,"0% {0/114}","0.5% {5/1010}",0.504,1
"1079","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane",0.222,"0% {0/114}","0.59% {6/1010}",0.559,1
"1080","GO:2000379","positive regulation of reactive oxygen species metabolic process",0.222,"0% {0/114}","0.79% {8/1010}",0.643,1
"1081","GO:0050772","positive regulation of axonogenesis",0.221,"0% {0/114}","0.3% {3/1010}",0.5,1
"1082","GO:0012501","programmed cell death",0.22,"0% {0/114}","0.3% {3/1010}",0.5,1
"1083","GO:0046456","icosanoid biosynthetic process",0.219,"0% {0/114}","0.3% {3/1010}",0.5,1
"1084","GO:0051568","histone H3-K4 methylation",0.219,"0% {0/114}","0.4% {4/1010}",0.5,1
"1085","GO:0045540","regulation of cholesterol biosynthetic process",0.218,"0% {0/114}","0.3% {3/1010}",0.5,1
"1086","GO:0008210","estrogen metabolic process",0.217,"0% {0/114}","0.4% {4/1010}",0.5,1
"1087","GO:0048662","negative regulation of smooth muscle cell proliferation",0.217,"0% {0/114}","0.3% {3/1010}",0.5,1
"1088","GO:0008361","regulation of cell size",0.217,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1089","GO:0001516","prostaglandin biosynthetic process",0.217,"0% {0/114}","0.4% {4/1010}",0.5,1
"1090","GO:0009117","nucleotide metabolic process",0.217,"0% {0/114}","0.3% {3/1010}",0.5,1
"1091","GO:0045596","negative regulation of cell differentiation",0.216,"0% {0/114}","0.4% {4/1010}",0.5,1
"1092","GO:0006878","cellular copper ion homeostasis",0.216,"0% {0/114}","0.5% {5/1010}",0.504,1
"1093","GO:0045089","positive regulation of innate immune response",0.215,"0% {0/114}","0.4% {4/1010}",0.5,1
"1094","GO:0002720","positive regulation of cytokine production involved in immune response",0.214,"0% {0/114}","0.3% {3/1010}",0.5,1
"1095","GO:0089718","amino acid import across plasma membrane",0.214,"0% {0/114}","0.3% {3/1010}",0.5,1
"1096","GO:0002082","regulation of oxidative phosphorylation",0.212,"0% {0/114}","0.3% {3/1010}",0.5,1
"1097","GO:0000956","nuclear-transcribed mRNA catabolic process",0.211,"0% {0/114}","0.3% {3/1010}",0.5,1
"1098","GO:0006111","regulation of gluconeogenesis",0.21,"0% {0/114}","0.4% {4/1010}",0.5,1
"1099","GO:0002026","regulation of the force of heart contraction",0.209,"0% {0/114}","0.4% {4/1010}",0.5,1
"1100","GO:0001836","release of cytochrome c from mitochondria",0.208,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"1101","GO:1903076","regulation of protein localization to plasma membrane",0.206,"0% {0/114}","0.4% {4/1010}",0.5,1
"1102","GO:0042177","negative regulation of protein catabolic process",0.205,"0% {0/114}","0.59% {6/1010}",0.559,1
"1103","GO:0002183","cytoplasmic translational initiation",0.205,"0% {0/114}","0.5% {5/1010}",0.504,1
"1104","GO:0006978","DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",0.204,"0% {0/114}","0.4% {4/1010}",0.5,1
"1105","GO:0140374","antiviral innate immune response",0.204,"0% {0/114}","0.3% {3/1010}",0.5,1
"1106","GO:0010942","positive regulation of cell death",0.204,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"1107","GO:0009966","regulation of signal transduction",0.204,"0% {0/114}","0.5% {5/1010}",0.504,1
"1108","GO:0051894","positive regulation of focal adhesion assembly",0.204,"0% {0/114}","0.3% {3/1010}",0.5,1
"1109","GO:0010332","response to gamma radiation",0.202,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"1110","GO:0030316","osteoclast differentiation",0.202,"0% {0/114}","0.3% {3/1010}",0.5,1
"1111","GO:0010498","proteasomal protein catabolic process",0.202,"0% {0/114}","0.59% {6/1010}",0.559,1
"1112","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle",0.201,"0% {0/114}","0.5% {5/1010}",0.504,1
"1113","GO:0070527","platelet aggregation",0.2,"0% {0/114}","0.5% {5/1010}",0.504,1
"1114","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process",0.199,"0% {0/114}","0.3% {3/1010}",0.5,1
"1115","GO:0060384","innervation",0.197,"0% {0/114}","0.3% {3/1010}",0.5,1
"1116","GO:0006370","7-methylguanosine mRNA capping",0.196,"0% {0/114}","0.59% {6/1010}",0.559,1
"1117","GO:0051496","positive regulation of stress fiber assembly",0.196,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"1118","GO:0001675","acrosome assembly",0.196,"0% {0/114}","0.4% {4/1010}",0.5,1
"1119","GO:0070911","global genome nucleotide-excision repair",0.196,"0% {0/114}","0.59% {6/1010}",0.559,1
"1120","GO:0001656","metanephros development",0.195,"0% {0/114}","0.3% {3/1010}",0.5,1
"1121","GO:0051493","regulation of cytoskeleton organization",0.194,"0% {0/114}","0.5% {5/1010}",0.504,1
"1122","GO:0061003","positive regulation of dendritic spine morphogenesis",0.194,"0% {0/114}","0.4% {4/1010}",0.5,1
"1123","GO:0007219","Notch signaling pathway",0.194,"0% {0/114}","0.69% {7/1010}",0.604,1
"1124","GO:1902036","regulation of hematopoietic stem cell differentiation",0.194,"0% {0/114}","0.99% {10/1010}",0.706,1
"1125","GO:0033137","negative regulation of peptidyl-serine phosphorylation",0.193,"0% {0/114}","0.59% {6/1010}",0.559,1
"1126","GO:0097711","ciliary basal body-plasma membrane docking",0.193,"0% {0/114}","0.5% {5/1010}",0.504,1
"1127","GO:0051775","response to redox state",0.192,"0% {0/114}","0.3% {3/1010}",0.5,1
"1128","GO:0006378","mRNA polyadenylation",0.191,"0% {0/114}","0.5% {5/1010}",0.504,1
"1129","GO:0010389","regulation of G2/M transition of mitotic cell cycle",0.19,"0% {0/114}","0.5% {5/1010}",0.504,1
"1130","GO:0016525","negative regulation of angiogenesis",0.189,"0% {0/114}","0.69% {7/1010}",0.604,1
"1131","GO:0030299","intestinal cholesterol absorption",0.188,"0% {0/114}","0.3% {3/1010}",0.5,1
"1132","GO:0006699","bile acid biosynthetic process",0.188,"0% {0/114}","0.5% {5/1010}",0.504,1
"1133","GO:0042742","defense response to bacterium",0.187,"0% {0/114}","0.4% {4/1010}",0.5,1
"1134","GO:0051639","actin filament network formation",0.186,"0% {0/114}","0.3% {3/1010}",0.5,1
"1135","GO:0032042","mitochondrial DNA metabolic process",0.186,"0% {0/114}","0.3% {3/1010}",0.5,1
"1136","GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling",0.186,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"1137","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.185,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"1138","GO:0048870","cell motility",0.183,"0% {0/114}","0.4% {4/1010}",0.5,1
"1139","GO:0007004","telomere maintenance via telomerase",0.183,"0% {0/114}","0.5% {5/1010}",0.504,1
"1140","GO:0007173","epidermal growth factor receptor signaling pathway",0.183,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"1141","GO:0032728","positive regulation of interferon-beta production",0.182,"0% {0/114}","0.5% {5/1010}",0.504,1
"1142","GO:0009612","response to mechanical stimulus",0.182,"0% {0/114}","0.4% {4/1010}",0.5,1
"1143","GO:0007141","male meiosis I",0.182,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"1144","GO:0071276","cellular response to cadmium ion",0.181,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"1145","GO:0070327","thyroid hormone transport",0.18,"0% {0/114}","0.3% {3/1010}",0.5,1
"1146","GO:0010763","positive regulation of fibroblast migration",0.18,"0% {0/114}","0.5% {5/1010}",0.504,1
"1147","GO:1901838","positive regulation of transcription of nucleolar large rRNA by RNA polymerase I",0.179,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1148","GO:0097193","intrinsic apoptotic signaling pathway",0.179,"0% {0/114}","0.59% {6/1010}",0.559,1
"1149","GO:0001947","heart looping",0.179,"0% {0/114}","0.5% {5/1010}",0.504,1
"1150","GO:0032481","positive regulation of type I interferon production",0.178,"0% {0/114}","0.69% {7/1010}",0.604,1
"1151","GO:0031124","mRNA 3'-end processing",0.178,"0% {0/114}","0.79% {8/1010}",0.643,1
"1152","GO:0045862","positive regulation of proteolysis",0.178,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"1153","GO:0090331","negative regulation of platelet aggregation",0.178,"0% {0/114}","0.3% {3/1010}",0.5,1
"1154","GO:0048010","vascular endothelial growth factor receptor signaling pathway",0.178,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"1155","GO:0014912","negative regulation of smooth muscle cell migration",0.178,"0% {0/114}","0.3% {3/1010}",0.5,1
"1156","GO:0010165","response to X-ray",0.176,"0% {0/114}","0.4% {4/1010}",0.5,1
"1157","GO:0006853","carnitine shuttle",0.176,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1158","GO:0014898","cardiac muscle hypertrophy in response to stress",0.175,"0% {0/114}","0.3% {3/1010}",0.5,1
"1159","GO:0045667","regulation of osteoblast differentiation",0.175,"0% {0/114}","0.3% {3/1010}",0.5,1
"1160","GO:0018230","peptidyl-L-cysteine S-palmitoylation",0.175,"0% {0/114}","0.4% {4/1010}",0.5,1
"1161","GO:0045740","positive regulation of DNA replication",0.174,"0% {0/114}","0.5% {5/1010}",0.504,1
"1162","GO:0060326","cell chemotaxis",0.174,"0% {0/114}","0.4% {4/1010}",0.5,1
"1163","GO:0060291","long-term synaptic potentiation",0.173,"0% {0/114}","0.5% {5/1010}",0.504,1
"1164","GO:0035023","regulation of Rho protein signal transduction",0.172,"0% {0/114}","0.3% {3/1010}",0.5,1
"1165","GO:0043039","tRNA aminoacylation",0.172,"0% {0/114}","0.4% {4/1010}",0.5,1
"1166","GO:0090399","replicative senescence",0.172,"0% {0/114}","0.59% {6/1010}",0.559,1
"1167","GO:0048679","regulation of axon regeneration",0.169,"0% {0/114}","0.3% {3/1010}",0.5,1
"1168","GO:0033555","multicellular organismal response to stress",0.169,"0% {0/114}","0.3% {3/1010}",0.5,1
"1169","GO:0030218","erythrocyte differentiation",0.169,"0% {0/114}","0.4% {4/1010}",0.5,1
"1170","GO:0031573","intra-S DNA damage checkpoint",0.169,"0% {0/114}","0.3% {3/1010}",0.5,1
"1171","GO:0035633","maintenance of blood-brain barrier",0.168,"0% {0/114}","0.4% {4/1010}",0.5,1
"1172","GO:1990090","cellular response to nerve growth factor stimulus",0.167,"0% {0/114}","0.5% {5/1010}",0.504,1
"1173","GO:0010035","response to inorganic substance",0.167,"0% {0/114}","0.4% {4/1010}",0.5,1
"1174","GO:0030041","actin filament polymerization",0.167,"0% {0/114}","0.3% {3/1010}",0.5,1
"1175","GO:0090501","RNA phosphodiester bond hydrolysis",0.167,"0% {0/114}","0.3% {3/1010}",0.5,1
"1176","GO:0071404","cellular response to low-density lipoprotein particle stimulus",0.167,"0% {0/114}","0.4% {4/1010}",0.5,1
"1177","GO:0030490","maturation of SSU-rRNA",0.166,"0% {0/114}","0.3% {3/1010}",0.5,1
"1178","GO:0031648","protein destabilization",0.166,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"1179","GO:0038110","interleukin-2-mediated signaling pathway",0.165,"0% {0/114}","0.3% {3/1010}",0.5,1
"1180","GO:0007017","microtubule-based process",0.165,"0% {0/114}","0.4% {4/1010}",0.5,1
"1181","GO:0070102","interleukin-6-mediated signaling pathway",0.164,"0% {0/114}","0.3% {3/1010}",0.5,1
"1182","GO:0033314","mitotic DNA replication checkpoint",0.163,"0% {0/114}","0.3% {3/1010}",0.5,1
"1183","GO:0046621","negative regulation of organ growth",0.163,"0% {0/114}","0.5% {5/1010}",0.504,1
"1184","GO:0030837","negative regulation of actin filament polymerization",0.163,"0% {0/114}","0.3% {3/1010}",0.5,1
"1185","GO:0043407","negative regulation of MAP kinase activity",0.162,"0% {0/114}","0.5% {5/1010}",0.504,1
"1186","GO:2000573","positive regulation of DNA biosynthetic process",0.162,"0% {0/114}","0.4% {4/1010}",0.5,1
"1187","GO:0021522","spinal cord motor neuron differentiation",0.162,"0% {0/114}","0.3% {3/1010}",0.5,1
"1188","GO:0033173","calcineurin-NFAT signaling cascade",0.162,"0% {0/114}","0.4% {4/1010}",0.5,1
"1189","GO:0010042","response to manganese ion",0.162,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1190","GO:0051865","protein autoubiquitination",0.161,"0% {0/114}","0.5% {5/1010}",0.504,1
"1191","GO:0007140","male meiotic nuclear division",0.161,"0% {0/114}","0.4% {4/1010}",0.5,1
"1192","GO:0051000","positive regulation of nitric-oxide synthase activity",0.16,"0% {0/114}","0.5% {5/1010}",0.504,1
"1193","GO:0043403","skeletal muscle tissue regeneration",0.16,"0% {0/114}","0.5% {5/1010}",0.504,1
"1194","GO:0070585","protein localization to mitochondrion",0.16,"0% {0/114}","0.3% {3/1010}",0.5,1
"1195","GO:0006167","AMP biosynthetic process",0.159,"0% {0/114}","0.3% {3/1010}",0.5,1
"1196","GO:0043029","T cell homeostasis",0.159,"0% {0/114}","0.4% {4/1010}",0.5,1
"1197","GO:0050901","leukocyte tethering or rolling",0.158,"0% {0/114}","0.3% {3/1010}",0.5,1
"1198","GO:0009650","UV protection",0.158,"0% {0/114}","0.69% {7/1010}",0.604,1
"1199","GO:0007162","negative regulation of cell adhesion",0.158,"0% {0/114}","0.4% {4/1010}",0.5,1
"1200","GO:0006656","phosphatidylcholine biosynthetic process",0.158,"0% {0/114}","0.3% {3/1010}",0.5,1
"1201","GO:0046716","muscle cell cellular homeostasis",0.158,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"1202","GO:0046677","response to antibiotic",0.158,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1203","GO:0001732","formation of cytoplasmic translation initiation complex",0.157,"0% {0/114}","0.4% {4/1010}",0.5,1
"1204","GO:0031663","lipopolysaccharide-mediated signaling pathway",0.157,"0% {0/114}","0.5% {5/1010}",0.504,1
"1205","GO:0051149","positive regulation of muscle cell differentiation",0.157,"0% {0/114}","0.3% {3/1010}",0.5,1
"1206","GO:0032438","melanosome organization",0.156,"0% {0/114}","0.3% {3/1010}",0.5,1
"1207","GO:0001835","blastocyst hatching",0.155,"0% {0/114}","0.3% {3/1010}",0.5,1
"1208","GO:0006623","protein targeting to vacuole",0.155,"0% {0/114}","0.4% {4/1010}",0.5,1
"1209","GO:0043409","negative regulation of MAPK cascade",0.153,"0% {0/114}","0.3% {3/1010}",0.5,1
"1210","GO:0030890","positive regulation of B cell proliferation",0.152,"0% {0/114}","0.4% {4/1010}",0.5,1
"1211","GO:0043393","regulation of protein binding",0.152,"0% {0/114}","0.4% {4/1010}",0.5,1
"1212","GO:0097011","cellular response to granulocyte macrophage colony-stimulating factor stimulus",0.152,"0% {0/114}","0.3% {3/1010}",0.5,1
"1213","GO:0006301","postreplication repair",0.151,"0% {0/114}","0.3% {3/1010}",0.5,1
"1214","GO:0090398","cellular senescence",0.151,"0% {0/114}","0.59% {6/1010}",0.559,1
"1215","GO:0008299","isoprenoid biosynthetic process",0.151,"0% {0/114}","0.3% {3/1010}",0.5,1
"1216","GO:0016925","protein sumoylation",0.15,"0% {0/114}","0.5% {5/1010}",0.504,1
"1217","GO:0090344","negative regulation of cell aging",0.148,"0% {0/114}","0.4% {4/1010}",0.5,1
"1218","GO:0000902","cell morphogenesis",0.148,"0% {0/114}","0.59% {6/1010}",0.559,1
"1219","GO:0010738","regulation of protein kinase A signaling",0.147,"0% {0/114}","0.4% {4/1010}",0.5,1
"1220","GO:0097720","calcineurin-mediated signaling",0.147,"0% {0/114}","0.3% {3/1010}",0.5,1
"1221","GO:0007254","JNK cascade",0.146,"0% {0/114}","0.5% {5/1010}",0.504,1
"1222","GO:0035774","positive regulation of insulin secretion involved in cellular response to glucose stimulus",0.146,"0% {0/114}","0.3% {3/1010}",0.5,1
"1223","GO:0030049","muscle filament sliding",0.145,"0% {0/114}","0.5% {5/1010}",0.504,1
"1224","GO:0007346","regulation of mitotic cell cycle",0.145,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1225","GO:0002092","positive regulation of receptor internalization",0.144,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1226","GO:0006913","nucleocytoplasmic transport",0.144,"0% {0/114}","0.4% {4/1010}",0.5,1
"1227","GO:0071156","regulation of cell cycle arrest",0.143,"0% {0/114}","0.3% {3/1010}",0.5,1
"1228","GO:0007519","skeletal muscle tissue development",0.143,"0% {0/114}","0.59% {6/1010}",0.559,1
"1229","GO:0046928","regulation of neurotransmitter secretion",0.142,"0% {0/114}","0.3% {3/1010}",0.5,1
"1230","GO:0030838","positive regulation of actin filament polymerization",0.142,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"1231","GO:0042998","positive regulation of Golgi to plasma membrane protein transport",0.142,"0% {0/114}","0.3% {3/1010}",0.5,1
"1232","GO:0006293","nucleotide-excision repair, preincision complex stabilization",0.141,"0% {0/114}","0.69% {7/1010}",0.604,1
"1233","GO:0009414","response to water deprivation",0.141,"0% {0/114}","0.4% {4/1010}",0.5,1
"1234","GO:1902616","acyl carnitine transmembrane transport",0.141,"0% {0/114}","0.4% {4/1010}",0.5,1
"1235","GO:0008344","adult locomotory behavior",0.14,"0% {0/114}","0.59% {6/1010}",0.559,1
"1236","GO:1900006","positive regulation of dendrite development",0.14,"0% {0/114}","0.4% {4/1010}",0.5,1
"1237","GO:0070534","protein K63-linked ubiquitination",0.14,"0% {0/114}","0.5% {5/1010}",0.504,1
"1238","GO:0048854","brain morphogenesis",0.14,"0% {0/114}","0.4% {4/1010}",0.5,1
"1239","GO:0031016","pancreas development",0.139,"0% {0/114}","0.3% {3/1010}",0.5,1
"1240","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",0.139,"0% {0/114}","0.4% {4/1010}",0.5,1
"1241","GO:0035280","miRNA loading onto RISC involved in gene silencing by miRNA",0.138,"0% {0/114}","0.5% {5/1010}",0.504,1
"1242","GO:0006139","nucleobase-containing compound metabolic process",0.137,"0% {0/114}","0.5% {5/1010}",0.504,1
"1243","GO:0009615","response to virus",0.136,"0% {0/114}","0.4% {4/1010}",0.5,1
"1244","GO:0048147","negative regulation of fibroblast proliferation",0.135,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"1245","GO:0001938","positive regulation of endothelial cell proliferation",0.135,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"1246","GO:0044030","regulation of DNA methylation",0.135,"0% {0/114}","0.3% {3/1010}",0.5,1
"1247","GO:0002076","osteoblast development",0.134,"0% {0/114}","0.3% {3/1010}",0.5,1
"1248","GO:0030217","T cell differentiation",0.134,"0% {0/114}","0.3% {3/1010}",0.5,1
"1249","GO:0009792","embryo development ending in birth or egg hatching",0.133,"0% {0/114}","0.4% {4/1010}",0.5,1
"1250","GO:0010875","positive regulation of cholesterol efflux",0.133,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1251","GO:0072425","signal transduction involved in G2 DNA damage checkpoint",0.132,"0% {0/114}","0.4% {4/1010}",0.5,1
"1252","GO:0019371","cyclooxygenase pathway",0.132,"0% {0/114}","0.3% {3/1010}",0.5,1
"1253","GO:0090314","positive regulation of protein targeting to membrane",0.131,"0% {0/114}","0.5% {5/1010}",0.504,1
"1254","GO:0035723","interleukin-15-mediated signaling pathway",0.131,"0% {0/114}","0.4% {4/1010}",0.5,1
"1255","GO:0097421","liver regeneration",0.13,"0% {0/114}","0.5% {5/1010}",0.504,1
"1256","GO:1904667","negative regulation of ubiquitin protein ligase activity",0.13,"0% {0/114}","0.3% {3/1010}",0.5,1
"1257","GO:0035196","production of miRNAs involved in gene silencing by miRNA",0.13,"0% {0/114}","0.5% {5/1010}",0.504,1
"1258","GO:1901031","regulation of response to reactive oxygen species",0.129,"0% {0/114}","0.3% {3/1010}",0.5,1
"1259","GO:0051016","barbed-end actin filament capping",0.129,"0% {0/114}","0.4% {4/1010}",0.5,1
"1260","GO:0030705","cytoskeleton-dependent intracellular transport",0.129,"0% {0/114}","0.3% {3/1010}",0.5,1
"1261","GO:0017156","calcium-ion regulated exocytosis",0.128,"0% {0/114}","0.3% {3/1010}",0.5,1
"1262","GO:0034446","substrate adhesion-dependent cell spreading",0.127,"0% {0/114}","0.3% {3/1010}",0.5,1
"1263","GO:0070198","protein localization to chromosome, telomeric region",0.127,"0% {0/114}","0.3% {3/1010}",0.5,1
"1264","GO:0048646","anatomical structure formation involved in morphogenesis",0.126,"0% {0/114}","0.3% {3/1010}",0.5,1
"1265","GO:0008585","female gonad development",0.126,"0% {0/114}","0.3% {3/1010}",0.5,1
"1266","GO:0070266","necroptotic process",0.125,"0% {0/114}","0.3% {3/1010}",0.5,1
"1267","GO:0016446","somatic hypermutation of immunoglobulin genes",0.125,"0% {0/114}","0.3% {3/1010}",0.5,1
"1268","GO:0045814","negative regulation of gene expression, epigenetic",0.123,"0% {0/114}","0.5% {5/1010}",0.504,1
"1269","GO:0048589","developmental growth",0.121,"0% {0/114}","0.3% {3/1010}",0.5,1
"1270","GO:0055119","relaxation of cardiac muscle",0.119,"0% {0/114}","0.3% {3/1010}",0.5,1
"1271","GO:0006362","transcription elongation from RNA polymerase I promoter",0.118,"0% {0/114}","0.4% {4/1010}",0.5,1
"1272","GO:0035194","post-transcriptional gene silencing by RNA",0.117,"0% {0/114}","0.4% {4/1010}",0.5,1
"1273","GO:0070372","regulation of ERK1 and ERK2 cascade",0.117,"0% {0/114}","0.4% {4/1010}",0.5,1
"1274","GO:0010499","proteasomal ubiquitin-independent protein catabolic process",0.116,"0% {0/114}","0.3% {3/1010}",0.5,1
"1275","GO:0006310","DNA recombination",0.116,"0% {0/114}","0.99% {10/1010}",0.706,1
"1276","GO:0023035","CD40 signaling pathway",0.115,"0% {0/114}","0.3% {3/1010}",0.5,1
"1277","GO:2000114","regulation of establishment of cell polarity",0.114,"0% {0/114}","0.5% {5/1010}",0.504,1
"1278","GO:0031098","stress-activated protein kinase signaling cascade",0.113,"0% {0/114}","0.79% {8/1010}",0.643,1
"1279","GO:0061025","membrane fusion",0.113,"0% {0/114}","0.5% {5/1010}",0.504,1
"1280","GO:0010288","response to lead ion",0.113,"0% {0/114}","0.3% {3/1010}",0.5,1
"1281","GO:0010952","positive regulation of peptidase activity",0.113,"0% {0/114}","0.4% {4/1010}",0.5,1
